Year,"Sexo",Value
2020,"Total",1.1935730190000005
2019,"Total",1.410927237888928
2018,"Total",0.9032746026136633
2017,"Total",0.913785538284004
2016,"Total",0.7008775694537902
2015,"Total",0.563364424006069
2020,"Hombres",0.15640446199999994
2019,"Hombres",0.31534035189677434
2018,"Hombres",0.1901432495479642
2017,"Hombres",0.1464692106750042
2016,"Hombres",0.16527102490258014
2015,"Hombres",0.15889051426922735
2020,"Mujeres",2.094686991999998
2019,"Mujeres",2.35953394002835
2018,"Mujeres",1.5349876220248382
2017,"Mujeres",1.586358350271356
2016,"Mujeres",1.173622022813988
2015,"Mujeres",0.9179264271955501
